Obec,ID obce,Voliči,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,Česká str.sociálně demokrat.,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
Aš,554499,9766,4289,4254,276,37,219,169,369,155,53,43,16,20,373,10,153,1707,13,94,15,4,3,515,10
Dolní Žandov,554502,943,532,528,31,3,23,21,93,3,10,6,0,0,52,0,16,188,4,10,5,2,4,56,1
Drmoul,554511,769,486,481,49,2,22,42,31,2,3,6,0,0,51,0,11,181,1,22,3,0,3,51,1
Františkovy Lázně,554529,4700,2905,2886,340,7,173,122,205,36,27,29,5,22,337,5,142,967,15,75,16,11,5,328,19
Hazlov,554545,1239,638,626,37,1,29,25,77,6,10,12,1,2,53,2,10,234,1,26,0,0,0,100,0
Hranice,554553,1677,706,698,41,3,58,12,79,16,18,7,1,4,67,2,14,289,2,3,1,2,2,75,2
Cheb,554481,23954,12225,12153,934,57,905,935,1197,195,70,125,23,23,1141,9,380,4189,31,291,70,16,44,1489,29
Krásná,538795,474,264,262,5,0,11,14,20,6,2,1,2,4,20,0,7,138,0,1,1,0,0,30,0
Křižovatka,554596,210,118,118,3,1,17,9,19,0,2,0,0,0,2,0,1,55,0,2,0,0,0,7,0
Lázně Kynžvart,554600,1228,613,608,49,5,46,19,71,9,3,4,0,0,81,0,13,210,2,14,1,1,1,77,2
Libá,554618,592,301,297,27,2,22,16,28,0,2,2,1,2,39,0,2,112,2,2,0,0,0,37,1
Lipová,554626,586,299,297,22,2,15,18,23,3,1,8,0,1,22,1,10,115,1,4,1,0,4,45,1
Luby,554634,1809,852,843,49,2,78,34,63,10,15,4,10,1,69,2,18,346,2,34,1,3,2,98,2
Mariánské Lázně,554642,10572,5720,5675,686,26,369,177,391,58,30,65,5,8,1046,8,255,1741,11,198,37,6,6,538,14
Milhostov,554651,244,82,82,2,0,8,4,4,0,0,0,0,0,3,0,0,54,0,0,1,1,0,5,0
Milíkov,538906,223,141,141,17,1,7,14,14,2,1,5,0,0,15,0,1,35,1,6,0,0,2,19,1
Mnichov,554677,335,137,135,4,0,5,4,25,0,7,1,0,1,23,0,3,33,1,8,2,0,0,17,1
Nebanice,554693,278,162,159,6,0,12,19,28,2,4,4,0,0,7,0,4,50,1,1,0,1,0,20,0
Nový Kostel,554707,410,221,221,8,0,38,2,15,2,2,0,1,0,12,0,7,80,0,17,0,0,1,28,8
Odrava,539554,185,99,99,10,1,6,11,7,3,1,2,0,0,8,0,2,34,1,0,0,0,0,12,1
Okrouhlá,538922,199,108,107,7,0,8,6,12,1,2,7,0,1,7,0,0,37,1,2,1,0,0,15,0
Ovesné Kladruby,539473,97,52,52,7,1,1,0,3,3,1,0,0,0,18,1,1,12,1,2,0,0,0,1,0
Plesná,554740,1565,723,719,34,3,101,18,73,5,9,5,6,0,45,0,44,281,0,4,1,1,0,85,4
Podhradí,538817,164,79,79,8,1,2,2,7,1,0,3,0,0,3,1,1,33,1,4,0,0,0,10,2
Pomezí nad Ohří,538868,206,132,131,8,0,7,17,16,0,0,1,0,0,16,0,7,42,0,3,3,0,0,11,0
Poustka,577979,122,80,79,6,1,5,9,11,1,0,1,0,1,6,0,0,23,0,2,0,0,0,12,1
Prameny,539538,92,59,57,3,0,1,2,1,0,1,0,0,1,12,0,1,18,1,1,0,0,1,14,0
Skalná,554812,1511,777,770,59,1,83,24,56,7,5,4,2,0,60,0,13,325,1,18,1,1,3,107,0
Stará Voda,539112,389,196,196,7,0,11,6,33,4,1,2,0,0,21,0,6,60,1,4,1,1,0,37,1
Teplá,555631,2365,1058,1046,80,4,80,22,170,8,8,12,0,7,102,0,22,340,3,50,4,1,3,128,2
Trstěnice,554855,301,165,165,11,0,5,11,26,1,1,0,0,0,20,0,1,60,0,2,1,0,0,25,1
Třebeň,539023,326,206,203,15,0,5,13,22,2,1,1,2,0,22,0,2,79,0,7,0,1,1,29,1
Tři Sekery,554880,748,393,384,47,2,17,4,25,0,2,4,0,0,91,0,6,129,2,14,2,1,0,38,0
Tuřany,539619,110,73,73,9,0,5,7,5,0,0,1,0,0,5,0,1,33,0,0,0,1,1,5,0
Valy,539481,384,241,240,21,2,9,11,9,1,2,2,0,0,32,0,10,100,0,8,3,0,0,29,1
Velká Hleďsebe,539279,1816,1039,1027,130,7,78,44,78,6,6,11,0,2,154,1,38,331,2,28,6,2,2,100,1
Velký Luh,578002,127,67,66,5,0,2,11,11,1,1,0,0,0,4,0,0,20,1,2,0,1,0,7,0
Vlkovice,539376,104,72,72,1,2,5,2,8,0,3,0,1,0,10,0,1,24,1,6,1,1,0,6,0
Vojtanov,539074,168,102,102,3,0,2,4,13,0,2,1,0,0,6,0,2,50,0,1,1,0,0,16,1
Zádub-Závišín,539431,274,165,164,27,0,5,9,10,0,0,2,0,0,20,0,7,49,0,13,1,0,1,20,0
